original_id,vid
933,25567
1129,25568
4194,25569
8333,25570
8698,25571
8853,25572
10027,25573
2199023256684,25574
2199023261211,25575
2199023262818,25576
2199023262994,25577
2199023266220,25578
4398046512167,25579
4398046515995,25580
4398046516514,25581
4398046521820,25582
6597069767117,25583
6597069770517,25584
6597069771578,25585
6597069771971,25586
6597069773260,25587
6597069773744,25588
6597069774931,25589
6597069776841,25590
6597069777326,25591
6597069777454,25592
8796093025056,25593
8796093025593,25594
8796093028089,25595
8796093028412,25596
8796093030318,25597
8796093031179,25598
10995116278700,25599
10995116279792,25600
10995116279952,25601
10995116280047,25602
10995116280480,25603
10995116285020,25604
10995116285325,25605
13194139536109,25606
13194139539553,25607
13194139541814,25608
13194139544176,25609
13194139544258,25610
15393162791382,25611
15393162793009,25612
15393162795040,25613
15393162796879,25614
15393162797860,25615
17592186045684,25616
17592186048163,25617
17592186048827,25618
17592186048849,25619
17592186049118,25620
17592186050570,25621
17592186051113,25622
17592186053080,25623
17592186054681,25624
19791209301794,25625
19791209305935,25626
19791209306628,25627
19791209307908,25628
21990232556027,25629
21990232556585,25630
21990232558653,25631
21990232559044,25632
21990232560132,25633
21990232560726,25634
21990232560950,25635
21990232561712,25636
21990232563931,25637
21990232565814,25638
21990232565924,25639
24189255812290,25640
24189255813101,25641
24189255814220,25642
24189255815734,25643
24189255816395,25644
24189255818167,25645
24189255818453,25646
24189255819563,25647
24189255821590,25648
26388279066636,25649
26388279074007,25650
26388279074936,25651
28587302322727,25652
28587302327472,25653
28587302327895,25654
28587302330379,25655
28587302330793,25656
28587302331372,25657
30786325578904,25658
30786325580104,25659
30786325583274,25660
30786325584323,25661
30786325585602,25662
30786325586267,25663
30786325586438,25664
30786325586633,25665
32985348840129,25666
32985348842922,25667
32985348843775,25668
32985348843944,25669
2035,25670
2099,25671
3067,25672
3601,25673
7375,25674
2199023256181,25675
2199023258430,25676
2199023258732,25677
2199023260149,25678
2199023262021,25679
2199023264241,25680
2199023265107,25681
4398046511870,25682
4398046513209,25683
4398046515291,25684
4398046517793,25685
4398046518021,25686
4398046518355,25687
6597069766983,25688
6597069770808,25689
6597069772777,25690
6597069773276,25691
6597069773901,25692
6597069774386,25693
6597069774399,25694
6597069775011,25695
6597069775498,25696
6597069775990,25697
6597069775996,25698
6597069776311,25699
8796093023060,25700
8796093024398,25701
8796093024830,25702
8796093026215,25703
8796093027255,25704
8796093027285,25705
8796093027599,25706
8796093028953,25707
10995116282255,25708
10995116288599,25709
13194139534485,25710
13194139536519,25711
13194139537106,25712
13194139538042,25713
13194139538958,25714
13194139540756,25715
13194139541819,25716
13194139542197,25717
13194139542377,25718
13194139542594,25719
13194139543252,25720
13194139543486,25721
13194139543680,25722
15393162792434,25723
17592186046713,25724
17592186047759,25725
17592186048261,25726
17592186048592,25727
17592186050532,25728
17592186052116,25729
17592186054222,25730
19791209300372,25731
19791209304664,25732
19791209306659,25733
21990232558019,25734
21990232560677,25735
21990232560744,25736
21990232562328,25737
21990232562378,25738
21990232562436,25739
21990232562878,25740
21990232564330,25741
21990232564501,25742
24189255818373,25743
24189255818939,25744
24189255821783,25745
26388279067350,25746
26388279068275,25747
26388279068856,25748
26388279070639,25749
26388279072430,25750
26388279073058,25751
26388279074355,25752
28587302322873,25753
28587302327183,25754
28587302327320,25755
28587302330388,25756
28587302332178,25757
28587302332688,25758
28587302332899,25759
30786325578788,25760
30786325580358,25761
30786325581635,25762
30786325581812,25763
30786325585081,25764
30786325586109,25765
30786325586916,25766
32985348834675,25767
32985348837637,25768
32985348837706,25769
32985348837885,25770
32985348838332,25771
